article_id,onclick,title
AR0126295,"fn_showArticle(""AR0126295"", """", ""NT21"", ""L"")",Greetings to Seychellois President
AR0126287,"fn_showArticle(""AR0126287"", """", ""NT21"", ""L"")",Venezuelan City's Highest Order Awarded to Supreme Leader Kim Jong Un
AR0126286,"fn_showArticle(""AR0126286"", """", ""NT21"", ""L"")",Xi Jinping to Visit DPRK
AR0126281,"fn_showArticle(""AR0126281"", """", ""NT21"", ""L"")",Kim Jae Ryong Inspects Tokchon Area Coal-Mining Complex
AR0126277,"fn_showArticle(""AR0126277"", """", ""NT21"", ""L"")",Double-Dealing Tactics Will Never Work: KCNA Commentary
AR0126169,"fn_showArticle(""AR0126169"", """", ""NT21"", ""L"")",Central Election Guidance Committee Formed in DPRK
AR0126127,"fn_showArticle(""AR0126127"", """", ""NT21"", ""L"")",Congratulations to President of Kazakhstan
AR0126118,"fn_showArticle(""AR0126118"", """", ""NT21"", ""L"")",Greetings to Philippine President
AR0126117,"fn_showArticle(""AR0126117"", """", ""NT21"", ""L"")","KCNA Commentary Rebukes Japan's Attachment to ""Flag of Rising Sun Shedding Rays"""
AR0126091,"fn_showArticle(""AR0126091"", """", ""NT21"", ""L"")",DPRK Premier Inspects Several Units
AR0126278,"fn_showArticle(""AR0126278"", """", ""NT11"", ""L"")",Results of 2018-2019 DPRK Premier Football League (14)
AR0126227,"fn_showArticle(""AR0126227"", """", ""NT11"", ""L"")",Road Relay Held in DPRK
AR0126226,"fn_showArticle(""AR0126226"", """", ""NT11"", ""L"")",Results of 2018-2019 DPRK Women's Premier Football League (12)
AR0126058,"fn_showArticle(""AR0126058"", """", ""NT11"", ""L"")",Results of 2018-2019 DPRK Premier Football League (13)
AR0126009,"fn_showArticle(""AR0126009"", """", ""NT11"", ""L"")",Results of 2018-2019 DPRK Women's Premier Football League (11)
AR0126283,"fn_showArticle(""AR0126283"", """", ""NT09"", ""L"")",Pyongyang International Sci-Tech Exhibition of Health and Medical Appliances Opens
AR0125978,"fn_showArticle(""AR0125978"", """", ""NT09"", ""L"")",Fictions and Models - 2019 Held
AR0124762,"fn_showArticle(""AR0124762"", """", ""NT19"", ""L"")",Tour by Super-light Planes Popular in DPRK
AR0122941,"fn_showArticle(""AR0122941"", """", ""NT19"", ""L"")",MOU Signed between DPRK and Russia
AR0121949,"fn_showArticle(""AR0121949"", """", ""NT19"", ""L"")",Masikryong Ski Resort
AR0121709,"fn_showArticle(""AR0121709"", """", ""NT19"", ""L"")",Tour of Historical Sites in Kangso Area Begins
AR0120090,"fn_showArticle(""AR0120090"", """", ""NT19"", ""L"")",Scenic Mt Kumgang of Korea
AR0125945,"fn_showArticle(""AR0125945"", """", ""NT12"", ""L"")",Art Performance Given to Celebrate KCU Founding Anniversary
AR0126318,"fn_showArticle(""AR0126318"", """", ""NT12"", ""L"")",National Art Exhibition Opens
AR0126163,"fn_showArticle(""AR0126163"", """", ""NT12"", ""L"")",Piano Concert Held by Students of Kim Won Gyun University of Music
AR0126072,"fn_showArticle(""AR0126072"", """", ""NT12"", ""L"")","""Unbangul""-trademarked Musical Instruments Popular in DPRK"
AR0126135,"fn_showArticle(""AR0126135"", """", ""NT00"", ""L"")",Supreme Leader Kim Jong Un Sends Condolatory Message to Bereaved Families of Ri Hui Ho
AR0126134,"fn_showArticle(""AR0126134"", """", ""NT00"", ""L"")","Supreme Leader Kim Jong Un Sends Condolatory Message and Wreath to Bereaved Families of Ri Hui Ho, Wife of S. Korean Ex-President Kim Dae Jung"
AR0126098,"fn_showArticle(""AR0126098"", """", ""NT00"", ""L"")",Supreme Leader Kim Jong Un Sends Greetings to President of Russian Federation
AR0125886,"fn_showArticle(""AR0125886"", """", ""NT00"", ""L"")",Supreme Leader Kim Jong Un Has Photo Session with Members of Art Groups of KPA Officers' Wives
AR0125876,"fn_showArticle(""AR0125876"", """", ""NT00"", ""L"")",Supreme Leader Kim Jong Un Congratulates Raul Castro Ruz
AR0125857,"fn_showArticle(""AR0125857"", """", ""NT00"", ""L"")",Grand Mass Gymnastics and Artistic Performance Opens
AR0126318,"fn_showArticle(""AR0126318"", """", ""NT41"", ""L"")",National Art Exhibition Opens
AR0126284,"fn_showArticle(""AR0126284"", """", ""NT41"", ""L"")",DPRK Red Cross Society
AR0126314,"fn_showArticle(""AR0126314"", """", ""NT41"", ""L"")",National Seminar Held
AR0126313,"fn_showArticle(""AR0126313"", """", ""NT41"", ""L"")","Delegation of Koreans in Japan Pay Tribute to Statues of President Kim Il Sung, Chairman Kim Jong Il"
AR0126297,"fn_showArticle(""AR0126297"", """", ""NT41"", ""L"")",Scientific Achievements Conducive to Environment Protection
AR0126296,"fn_showArticle(""AR0126296"", """", ""NT41"", ""L"")",Big Efforts Paid to Securing Coal Deposits in DPRK
AR0126295,"fn_showArticle(""AR0126295"", """", ""NT41"", ""L"")",Greetings to Seychellois President
AR0126293,"fn_showArticle(""AR0126293"", """", ""NT41"", ""L"")","Rodong Sinmun Calls for Preserving Juche Character, National Character of Revolution and Construction"
AR0126292,"fn_showArticle(""AR0126292"", """", ""NT41"", ""L"")",Press Review
AR0126291,"fn_showArticle(""AR0126291"", """", ""NT41"", ""L"")",Central Zoo
AR0126290,"fn_showArticle(""AR0126290"", """", ""NT41"", ""L"")",DPRK-U.S. Joint Statement Supported by Personages of Russia and Algeria
AR0126289,"fn_showArticle(""AR0126289"", """", ""NT41"", ""L"")",President Kim Il Sung to Be Remembered in Kuwait
AR0126288,"fn_showArticle(""AR0126288"", """", ""NT41"", ""L"")",President Kim Il Sung to Be Remembered in Syria
AR0126287,"fn_showArticle(""AR0126287"", """", ""NT41"", ""L"")",Venezuelan City's Highest Order Awarded to Supreme Leader Kim Jong Un
AR0126286,"fn_showArticle(""AR0126286"", """", ""NT41"", ""L"")",Xi Jinping to Visit DPRK
AR0126283,"fn_showArticle(""AR0126283"", """", ""NT41"", ""L"")",Pyongyang International Sci-Tech Exhibition of Health and Medical Appliances Opens
AR0126282,"fn_showArticle(""AR0126282"", """", ""NT41"", ""L"")",Delegation of DPRK Government Back Home
AR0126281,"fn_showArticle(""AR0126281"", """", ""NT41"", ""L"")",Kim Jae Ryong Inspects Tokchon Area Coal-Mining Complex
AR0126255,"fn_showArticle(""AR0126255"", """", ""NT41"", ""L"")",Chairman Kim Jong Il Publishes Many Works on Single-minded Unity during His Leadership over WPK
AR0126279,"fn_showArticle(""AR0126279"", """", ""NT41"", ""L"")",Efforts for Protecting Marine Resources Brisk in DPRK
AR0126278,"fn_showArticle(""AR0126278"", """", ""NT41"", ""L"")",Results of 2018-2019 DPRK Premier Football League (14)
AR0126277,"fn_showArticle(""AR0126277"", """", ""NT41"", ""L"")",Double-Dealing Tactics Will Never Work: KCNA Commentary
AR0126237,"fn_showArticle(""AR0126237"", """", ""NT41"", ""L"")",Pyongyang University of Architecture
AR0126262,"fn_showArticle(""AR0126262"", """", ""NT41"", ""L"")",Review of Rodong Sinmun
AR0126260,"fn_showArticle(""AR0126260"", """", ""NT41"", ""L"")","Science, Technology and Education Are Powerful Propeller: Rodong Sinmun"
AR0126258,"fn_showArticle(""AR0126258"", """", ""NT41"", ""L"")",President Kim Il Sung to Be Remembered in DR Congo
AR0126257,"fn_showArticle(""AR0126257"", """", ""NT41"", ""L"")",DPRK-U.S. Joint Statement Supported by Personages of Jordan and Angola
AR0126256,"fn_showArticle(""AR0126256"", """", ""NT41"", ""L"")",President Kim Il Sung to Be Remembered in Pakistan
AR0126234,"fn_showArticle(""AR0126234"", """", ""NT41"", ""L"")",DPRK Will as Ever Direct Sustained Great Efforts to Environmental Protection: Minju Joson
AR0126232,"fn_showArticle(""AR0126232"", """", ""NT41"", ""L"")",Chairman Kim Jong Il's Exploits in Party Building Praised by Swiss Organizations
AR0126233,"fn_showArticle(""AR0126233"", """", ""NT04"", ""L"")",Chief of Pyongyang Mission of AINDF Vows to Thoroughly Implement June 15 Joint Declaration
AR0126222,"fn_showArticle(""AR0126222"", """", ""NT04"", ""L"")","Bringing about Heyday of Peace, Prosperity and Reunification Called for"
AR0125917,"fn_showArticle(""AR0125917"", """", ""NT04"", ""L"")",National Reunification Institute Issues Detailed Report on Struggle to Dissolve LKP
AR0125557,"fn_showArticle(""AR0125557"", """", ""NT04"", ""L"")",CPRC Reunification and Agitation Department Exposes Sordid Nature of LKP
AR0125472,"fn_showArticle(""AR0125472"", """", ""NT04"", ""L"")",KCNA Commentary on Self-destructive Acts of S. Korean Conservatives
AR0125350,"fn_showArticle(""AR0125350"", """", ""NT04"", ""L"")","C.C., AINDF Calls for Unity to Eliminate Evil-doing Conservative Forces"
AR0125232,"fn_showArticle(""AR0125232"", """", ""NT04"", ""L"")","KCNA Commentary on LKP's ""North Wind"" Farce in South Korea"
AR0126284,"fn_showArticle(""AR0126284"", """", ""NT03"", ""L"")",DPRK Red Cross Society
AR0126295,"fn_showArticle(""AR0126295"", """", ""NT03"", ""L"")",Greetings to Seychellois President
AR0126290,"fn_showArticle(""AR0126290"", """", ""NT03"", ""L"")",DPRK-U.S. Joint Statement Supported by Personages of Russia and Algeria
AR0126289,"fn_showArticle(""AR0126289"", """", ""NT03"", ""L"")",President Kim Il Sung to Be Remembered in Kuwait
AR0126288,"fn_showArticle(""AR0126288"", """", ""NT03"", ""L"")",President Kim Il Sung to Be Remembered in Syria
AR0126287,"fn_showArticle(""AR0126287"", """", ""NT03"", ""L"")",Venezuelan City's Highest Order Awarded to Supreme Leader Kim Jong Un
AR0126286,"fn_showArticle(""AR0126286"", """", ""NT03"", ""L"")",Xi Jinping to Visit DPRK
AR0126283,"fn_showArticle(""AR0126283"", """", ""NT03"", ""L"")",Pyongyang International Sci-Tech Exhibition of Health and Medical Appliances Opens
AR0126290,"fn_showArticle(""AR0126290"", """", ""NT06"", ""L"")",DPRK-U.S. Joint Statement Supported by Personages of Russia and Algeria
AR0126289,"fn_showArticle(""AR0126289"", """", ""NT06"", ""L"")",President Kim Il Sung to Be Remembered in Kuwait
AR0126287,"fn_showArticle(""AR0126287"", """", ""NT06"", ""L"")",Venezuelan City's Highest Order Awarded to Supreme Leader Kim Jong Un
AR0126257,"fn_showArticle(""AR0126257"", """", ""NT06"", ""L"")",DPRK-U.S. Joint Statement Supported by Personages of Jordan and Angola
AR0126232,"fn_showArticle(""AR0126232"", """", ""NT06"", ""L"")",Chairman Kim Jong Il's Exploits in Party Building Praised by Swiss Organizations
AR0126230,"fn_showArticle(""AR0126230"", """", ""NT06"", ""L"")",WPK's Stand to Defend Int'l Justice and World Peace Supported by Syrian Figure
AR0126288,"fn_showArticle(""AR0126288"", """", ""NT06"", ""L"")",President Kim Il Sung to Be Remembered in Syria
AR0126258,"fn_showArticle(""AR0126258"", """", ""NT06"", ""L"")",President Kim Il Sung to Be Remembered in DR Congo
AR0126256,"fn_showArticle(""AR0126256"", """", ""NT06"", ""L"")",President Kim Il Sung to Be Remembered in Pakistan
AR0126231,"fn_showArticle(""AR0126231"", """", ""NT06"", ""L"")",President Kim Il Sung to Be Remembered in Belarus
AR0126200,"fn_showArticle(""AR0126200"", """", ""NT06"", ""L"")",President Kim Il Sung to Be Remembered in Lebanon
AR0126222,"fn_showArticle(""AR0126222"", """", ""NT17"", ""L"")","Bringing about Heyday of Peace, Prosperity and Reunification Called for"
AR0125917,"fn_showArticle(""AR0125917"", """", ""NT17"", ""L"")",National Reunification Institute Issues Detailed Report on Struggle to Dissolve LKP
AR0125884,"fn_showArticle(""AR0125884"", """", ""NT17"", ""L"")",Fate of DPRK-U.S. Joint Statement: Spokesperson for Ministry of Foreign Affairs of DPRK
AR0125701,"fn_showArticle(""AR0125701"", """", ""NT17"", ""L"")","Use of Strength Is Not at All Monopoly of U.S.: Policy Research Director of Institute for American Studies, FM of DPRK"
AR0125557,"fn_showArticle(""AR0125557"", """", ""NT17"", ""L"")",CPRC Reunification and Agitation Department Exposes Sordid Nature of LKP
AR0125350,"fn_showArticle(""AR0125350"", """", ""NT17"", ""L"")","C.C., AINDF Calls for Unity to Eliminate Evil-doing Conservative Forces"
AR0124795,"fn_showArticle(""AR0124795"", """", ""NT17"", ""L"")",Workers in North and South Call for Implementing North-South Declarations
AR0126293,"fn_showArticle(""AR0126293"", """", ""NT16"", ""L"")","Rodong Sinmun Calls for Preserving Juche Character, National Character of Revolution and Construction"
AR0126292,"fn_showArticle(""AR0126292"", """", ""NT16"", ""L"")",Press Review
AR0126262,"fn_showArticle(""AR0126262"", """", ""NT16"", ""L"")",Review of Rodong Sinmun
AR0126260,"fn_showArticle(""AR0126260"", """", ""NT16"", ""L"")","Science, Technology and Education Are Powerful Propeller: Rodong Sinmun"
AR0126234,"fn_showArticle(""AR0126234"", """", ""NT16"", ""L"")",DPRK Will as Ever Direct Sustained Great Efforts to Environmental Protection: Minju Joson
AR0126203,"fn_showArticle(""AR0126203"", """", ""NT16"", ""L"")",Party Leadership Serves as Lifeline of Building and Activities of Socialist State: Rodong Sinmun
AR0126201,"fn_showArticle(""AR0126201"", """", ""NT16"", ""L"")",Press Review
AR0126155,"fn_showArticle(""AR0126155"", """", ""NT02"", ""L"")",Struggle for Uprooting Deep-Seated Evils Called for in S. Korea
AR0126025,"fn_showArticle(""AR0126025"", """", ""NT02"", ""L"")",S. Korean Newspaper Sneers at LKP
AR0125877,"fn_showArticle(""AR0125877"", """", ""NT02"", ""L"")",Struggle for Uprooting Deep-Seated Evils Called for
AR0125732,"fn_showArticle(""AR0125732"", """", ""NT02"", ""L"")",South Korean Students' Group for Studying Supreme Leader Kim Jong Un to Publish Study Results
AR0125726,"fn_showArticle(""AR0125726"", """", ""NT02"", ""L"")",Overseas Koreans Call for Setting Up Special Team for Inquiry into Sewol Disaster
AR0125725,"fn_showArticle(""AR0125725"", """", ""NT02"", ""L"")",Traitor Hwang Kyo An Gets Cold Reception
AR0125707,"fn_showArticle(""AR0125707"", """", ""NT02"", ""L"")",DPRK's Citizens' Favorite Songs Introduced by S. Korean Newspaper
