title,url
Radio Free Europe,/lyrics/rem/radiofreeeurope.html
Pilgrimage,/lyrics/rem/pilgrimage.html
Laughing,/lyrics/rem/laughing.html
Talk About The Passion,/lyrics/rem/talkaboutthepassion.html
Moral Kiosk,/lyrics/rem/moralkiosk.html
Perfect Circle,/lyrics/rem/perfectcircle.html
Catapult,/lyrics/rem/catapult.html
Sitting Still,/lyrics/rem/sittingstill.html
9-9,/lyrics/rem/99.html
Shaking Through,/lyrics/rem/shakingthrough.html
We Walk,/lyrics/rem/wewalk.html
West Of The Fields,/lyrics/rem/westofthefields.html
Harborcoat,/lyrics/rem/harborcoat.html
Seven Chinese Brothers,/lyrics/rem/sevenchinesebrothers.html
So. Central Rain,/lyrics/rem/socentralrain.html
Pretty Persuasion,/lyrics/rem/prettypersuasion.html
Time After Time (AnnElise),/lyrics/rem/timeaftertimeannelise.html
Second Guessing,/lyrics/rem/secondguessing.html
Letter Never Sent,/lyrics/rem/letterneversent.html
Camera,/lyrics/rem/camera.html
(Don't Go Back To) Rockville,/lyrics/rem/dontgobacktorockville.html
Little America,/lyrics/rem/littleamerica.html
Wind Out,/lyrics/rem/windout.html
Moon River,/lyrics/rem/moonriver.html
Feeling Gravitys Pull,/lyrics/rem/feelinggravityspull.html
Maps And Legends,/lyrics/rem/mapsandlegends.html
Driver 8,/lyrics/rem/driver8.html
Life And How To Live It,/lyrics/rem/lifeandhowtoliveit.html
Old Man Kensey,/lyrics/rem/oldmankensey.html
Can't Get There From Here,/lyrics/rem/cantgettherefromhere.html
Green Grow The Rushes,/lyrics/rem/greengrowtherushes.html
Kohoutek,/lyrics/rem/kohoutek.html
Auctioneer (Another Engine),/lyrics/rem/auctioneeranotherengine.html
Good Advices,/lyrics/rem/goodadvices.html
Wendell Gee,/lyrics/rem/wendellgee.html
Begin The Begin,/lyrics/rem/beginthebegin.html
These Days,/lyrics/rem/thesedays.html
Fall On Me,/lyrics/rem/fallonme.html
Cuyahoga,/lyrics/rem/cuyahoga.html
Hyena,/lyrics/rem/hyena.html
Underneath The Bunker,/lyrics/rem/underneaththebunker.html
The Flowers Of Guatemala,/lyrics/rem/theflowersofguatemala.html
I Believe,/lyrics/rem/ibelieve.html
What If We Give It Away?,/lyrics/rem/whatifwegiveitaway.html
Just A Touch,/lyrics/rem/justatouch.html
Swan Swan H,/lyrics/rem/swanswanh.html
Superman,/lyrics/rem/superman.html
Tired Of Singing Trouble,/lyrics/rem/tiredofsingingtrouble.html
Toys In The Attic,/lyrics/rem/toysintheattic.html
Dream (All I Have To Do),/lyrics/rem/dreamallihavetodo.html
Crazy,/lyrics/rem/crazy.html
There She Goes Again,/lyrics/rem/thereshegoesagain.html
Burning Down,/lyrics/rem/burningdown.html
Voice Of Harold,/lyrics/rem/voiceofharold.html
Burning Hell,/lyrics/rem/burninghell.html
Toys In The Attic,/lyrics/rem/toysintheattic.html
Windout,/lyrics/rem/windout.html
Ages Of You,/lyrics/rem/agesofyou.html
Pale Blue Eyes,/lyrics/rem/paleblueeyes.html
Bandwagon,/lyrics/rem/bandwagon.html
Femme Fatale,/lyrics/rem/femmefatale.html
Walters Theme,/lyrics/rem/walterstheme.html
King Of The Road,/lyrics/rem/kingoftheroad.html
"Wolves, Lower",/lyrics/rem/wolveslower.html
Gardening At Night,/lyrics/rem/gardeningatnight.html
Carnival Of Sorts (Box Cars),/lyrics/rem/carnivalofsortsboxcars.html
"1,000,000",/lyrics/rem/1000000.html
Stumble,/lyrics/rem/stumble.html
All The Right Friends,/lyrics/rem/alltherightfriends.html
Finest Worksong,/lyrics/rem/finestworksong.html
Welcome To The Occupation,/lyrics/rem/welcometotheoccupation.html
Exhuming McCarthy,/lyrics/rem/exhumingmccarthy.html
Disturbance At The Heron House,/lyrics/rem/disturbanceattheheronhouse.html
Strange,/lyrics/rem/strange.html
It's The End Of The World As We Know It (And I Feel Fine),/lyrics/rem/itstheendoftheworldasweknowitandifeelfine.html
The One I Love,/lyrics/rem/theoneilove.html
Fireplace,/lyrics/rem/fireplace.html
Lightnin' Hopkins,/lyrics/rem/lightninhopkins.html
King Of Birds,/lyrics/rem/kingofbirds.html
Oddfellows Local 151,/lyrics/rem/oddfellowslocal151.html
Pop Song 89,/lyrics/rem/popsong89.html
Get Up,/lyrics/rem/getup.html
You Are The Everything,/lyrics/rem/youaretheeverything.html
Stand,/lyrics/rem/stand.html
World Leader Pretend,/lyrics/rem/worldleaderpretend.html
The Wrong Child,/lyrics/rem/thewrongchild.html
Orange Crush,/lyrics/rem/orangecrush.html
Turn You Inside-Out,/lyrics/rem/turnyouinsideout.html
Hairshirt,/lyrics/rem/hairshirt.html
I Remember California,/lyrics/rem/iremembercalifornia.html
Untitled,/lyrics/rem/untitled.html
Radio Song,/lyrics/rem/radiosong.html
Losing My Religion,/lyrics/rem/losingmyreligion.html
Low,/lyrics/rem/low.html
Near Wild Heaven,/lyrics/rem/nearwildheaven.html
Shiny Happy People,/lyrics/rem/shinyhappypeople.html
Belong,/lyrics/rem/belong.html
Half A World Away,/lyrics/rem/halfaworldaway.html
Texarkana,/lyrics/rem/texarkana.html
Country Feedback,/lyrics/rem/countryfeedback.html
Me In Honey,/lyrics/rem/meinhoney.html
Drive,/lyrics/rem/drive.html
Try Not To Breathe,/lyrics/rem/trynottobreathe.html
The Sidewinder Sleeps Tonite,/lyrics/rem/thesidewindersleepstonite.html
Everybody Hurts,/lyrics/rem/everybodyhurts.html
Sweetness Follows,/lyrics/rem/sweetnessfollows.html
Monty Got A Raw Deal,/lyrics/rem/montygotarawdeal.html
Ignoreland,/lyrics/rem/ignoreland.html
Star Me Kitten,/lyrics/rem/starmekitten.html
Man On The Moon,/lyrics/rem/manonthemoon.html
Nightswimming,/lyrics/rem/nightswimming.html
Find The River,/lyrics/rem/findtheriver.html
"What's The Frequency, Kenneth?",/lyrics/rem/whatsthefrequencykenneth.html
Crush With Eyeliner,/lyrics/rem/crushwitheyeliner.html
King Of Comedy,/lyrics/rem/kingofcomedy.html
"I Don't Sleep, I Dream",/lyrics/rem/idontsleepidream.html
Star 69,/lyrics/rem/star69.html
Strange Currencies,/lyrics/rem/strangecurrencies.html
Tongue,/lyrics/rem/tongue.html
Bang And Blame,/lyrics/rem/bangandblame.html
I Took Your Name,/lyrics/rem/itookyourname.html
Let Me In,/lyrics/rem/letmein.html
Circus Envy,/lyrics/rem/circusenvy.html
You,/lyrics/rem/you.html
How The West Was Won And Where It Got Us,/lyrics/rem/howthewestwaswonandwhereitgotus.html
The Wake-Up Bomb,/lyrics/rem/thewakeupbomb.html
New Test Leper,/lyrics/rem/newtestleper.html
Undertow,/lyrics/rem/undertow.html
E-Bow The Letter,/lyrics/rem/ebowtheletter.html
Leave,/lyrics/rem/leave.html
Departure,/lyrics/rem/departure.html
Bittersweet Me,/lyrics/rem/bittersweetme.html
Be Mine,/lyrics/rem/bemine.html
Binky The Doormat,/lyrics/rem/binkythedoormat.html
"So Fast, So Numb",/lyrics/rem/sofastsonumb.html
Low Desert,/lyrics/rem/lowdesert.html
Electrolite,/lyrics/rem/electrolite.html
Airportman,/lyrics/rem/airportman.html
Lotus,/lyrics/rem/lotus.html
Suspicion,/lyrics/rem/suspicion.html
Hope,/lyrics/rem/hope.html
At My Most Beautiful,/lyrics/rem/atmymostbeautiful.html
The Apologist,/lyrics/rem/theapologist.html
Sad Professor,/lyrics/rem/sadprofessor.html
You're In The Air,/lyrics/rem/youreintheair.html
Walk Unafraid,/lyrics/rem/walkunafraid.html
Why Not Smile,/lyrics/rem/whynotsmile.html
Daysleeper,/lyrics/rem/daysleeper.html
Diminished,/lyrics/rem/diminished.html
Parakeet,/lyrics/rem/parakeet.html
Falls To Climb,/lyrics/rem/fallstoclimb.html
The Lifting,/lyrics/rem/thelifting.html
I've Been High,/lyrics/rem/ivebeenhigh.html
All The Way To Reno (You're Gonna Be A Star),/lyrics/rem/allthewaytorenoyouregonnabeastar.html
She Just Wants To Be,/lyrics/rem/shejustwantstobe.html
Disappear,/lyrics/rem/disappear.html
Saturn Return,/lyrics/rem/saturnreturn.html
Beat A Drum,/lyrics/rem/beatadrum.html
Imitation Of Life,/lyrics/rem/imitationoflife.html
Summer Turns To High,/lyrics/rem/summerturnstohigh.html
Chorus And The Ring,/lyrics/rem/chorusandthering.html
I'll Take The Rain,/lyrics/rem/illtaketherain.html
Beach Ball,/lyrics/rem/beachball.html
Leaving New York,/lyrics/rem/leavingnewyork.html
Electron Blue,/lyrics/rem/electronblue.html
The Outsiders,/lyrics/rem/theoutsiders.html
Make It All Ok,/lyrics/rem/makeitallok.html
Final Straw,/lyrics/rem/finalstraw.html
I Wanted To Be Wrong,/lyrics/rem/iwantedtobewrong.html
Wanderlust,/lyrics/rem/wanderlust.html
The Boy In The Well,/lyrics/rem/theboyinthewell.html
Aftermath,/lyrics/rem/aftermath.html
High Speed Train,/lyrics/rem/highspeedtrain.html
The Worst Joke Ever,/lyrics/rem/theworstjokeever.html
The Ascent Of Man,/lyrics/rem/theascentofman.html
Around The Sun,/lyrics/rem/aroundthesun.html
Living Well Is The Best Revenge,/lyrics/rem/livingwellisthebestrevenge.html
Man-Sized Wreath,/lyrics/rem/mansizedwreath.html
Supernatural Superserious,/lyrics/rem/supernaturalsuperserious.html
Hollow Man,/lyrics/rem/hollowman.html
Houston,/lyrics/rem/houston.html
Accelerate,/lyrics/rem/accelerate.html
Until The Day Is Done,/lyrics/rem/untilthedayisdone.html
Mr. Richards,/lyrics/rem/mrrichards.html
Sing For The Submarine,/lyrics/rem/singforthesubmarine.html
Horse To Water,/lyrics/rem/horsetowater.html
I'm Gonna DJ,/lyrics/rem/imgonnadj.html
Discoverer,/lyrics/rem/discoverer.html
All The Best,/lyrics/rem/allthebest.html
Ãberlin,/lyrics/rem/berlin.html
Oh My Heart,/lyrics/rem/ohmyheart.html
It Happened Today,/lyrics/rem/ithappenedtoday.html
Every Day Is Yours To Win,/lyrics/rem/everydayisyourstowin.html
Mine Smell Like Honey,/lyrics/rem/minesmelllikehoney.html
Walk It Back,/lyrics/rem/walkitback.html
Alligator Aviator Autopilot Antimatter,/lyrics/rem/alligatoraviatorautopilotantimatter.html
That Someone Is You,/lyrics/rem/thatsomeoneisyou.html
"Me, Marlon Brando, Marlon Brando And I",/lyrics/rem/memarlonbrandomarlonbrandoandi.html
Blue,/lyrics/rem/blue.html
A Month Of Saturdays,/lyrics/rem/amonthofsaturdays.html
Animal,/lyrics/rem/animal.html
Bad Day,/lyrics/rem/badday.html
Losing My Religion 2 (Demo),/lyrics/rem/losingmyreligion2demo.html
Mike's Pop Song,/lyrics/rem/mikespopsong.html
Photograph,/lyrics/rem/photograph.html
Romance,/lyrics/rem/romance.html
The Great Beyond,/lyrics/rem/thegreatbeyond.html
We All Go Back To Where We Belong,/lyrics/rem/weallgobacktowherewebelong.html
