player_id,points_against,points_for,tournament_id
6003,381,443,8163
20749,375,435,8163
19535,391,443,8163
18474,386,439,8163
583,396,450,8163
55,400,424,8163
20383,402,415,8163
2105,403,434,8163
10129,398,419,8163
728,386,424,8163
1389,377,412,8163
10,403,430,8163
1385,392,416,8163
1534,401,424,8163
13512,403,425,8163
1847,390,411,8163
34,410,422,8163
1060,395,425,8163
1408,390,418,8163
53,391,418,8163
6969,401,423,8163
13511,386,408,8163
498,403,421,8163
346,396,412,8163
302,395,411,8163
435,395,410,8163
1529,389,403,8163
2433,403,413,8163
16519,406,399,8163
13509,392,427,8163
17175,392,415,8163
20252,386,408,8163
18079,398,416,8163
2794,393,411,8163
2,396,410,8163
18032,396,408,8163
1489,398,409,8163
338,392,398,8163
26,385,394,8163
451,408,411,8163
2470,400,401,8163
33,421,419,8163
18578,405,399,8163
17950,417,397,8163
17680,400,412,8163
1108,402,393,8163
19588,391,419,8163
1586,389,410,8163
559,407,421,8163
676,387,400,8163
727,389,399,8163
1525,409,416,8163
10156,408,411,8163
269,387,388,8163
434,408,408,8163
934,409,404,8163
20757,403,398,8163
19162,406,399,8163
39,387,380,8163
51,395,385,8163
106,415,390,8163
1027,425,385,8163
2161,406,414,8163
13648,397,404,8163
578,402,406,8163
19852,394,407,8163
802,402,409,8163
667,399,403,8163
731,404,407,8163
564,397,398,8163
469,396,395,8163
436,410,407,8163
3812,408,404,8163
957,411,401,8163
673,401,389,8163
1587,404,389,8163
17325,414,397,8163
17922,402,386,8163
529,410,388,8163
588,405,402,8163
984,392,404,8163
18544,406,411,8163
1787,411,414,8163
1984,407,407,8163
4906,386,388,8163
343,403,402,8163
1954,421,413,8163
1850,412,397,8163
267,404,388,8163
17589,417,401,8163
17101,411,395,8163
812,416,399,8163
15,406,380,8163
11930,410,376,8163
512,409,370,8163
1222,406,401,8163
1848,406,386,8163
17886,406,421,8163
775,413,411,8163
17644,397,392,8163
697,398,388,8163
2317,391,380,8163
958,394,381,8163
4394,405,387,8163
669,419,394,8163
13564,414,388,8163
1678,416,385,8163
2356,396,390,8163
437,406,383,8163
1815,389,385,8163
14162,398,392,8163
2403,423,394,8163
337,415,385,8163
2121,405,371,8163
18556,424,384,8163
449,424,374,8163
6894,404,384,8163
2034,395,368,8163
840,415,383,8163
20,409,374,8163
3197,409,367,8163
959,408,365,8163
2950,412,373,8163
1279,411,357,8163
2994,418,356,8163
18737,382,421,8163
1876,365,393,8163
21134,383,397,8163
11232,393,406,8163
44,385,413,8163
20943,371,415,8163
440,373,408,8163
677,371,395,8163
18741,379,401,8163
10147,395,399,8163
18705,360,419,8163
17834,382,414,8163
495,384,407,8163
668,375,390,8163
1449,378,393,8163
3751,381,388,8163
447,379,383,8163
107,388,386,8163
81,360,415,8163
20454,380,413,8163
2876,381,412,8163
1030,377,405,8163
2378,377,398,8163
2795,368,381,8163
103,369,380,8163
7598,381,390,8163
15876,388,397,8163
58,385,389,8163
17326,387,383,8163
1330,385,395,8163
18553,374,407,8163
19397,380,410,8163
685,375,405,8163
842,385,411,8163
260,384,405,8163
268,361,382,8163
450,382,399,8163
1375,371,386,8163
944,375,388,8163
1188,381,388,8163
18458,391,394,8163
2858,392,393,8163
1159,403,405,8163
1515,378,401,8163
19971,386,404,8163
1921,389,395,8163
18552,392,386,8163
442,379,399,8163
2032,377,392,8163
2865,384,399,8163
17361,382,393,8163
999,382,389,8163
2572,388,395,8163
19637,379,382,8163
474,380,379,8163
10334,379,378,8163
19638,385,383,8163
4093,397,392,8163
18977,403,398,8163
120,372,362,8163
619,399,388,8163
4556,393,378,8163
987,402,376,8163
1849,379,386,8163
262,375,375,8163
753,382,417,8163
671,388,403,8163
18336,379,392,8163
1036,380,388,8163
49,371,373,8163
815,390,392,8163
749,384,384,8163
633,386,384,8163
20890,381,377,8163
5823,393,389,8163
684,404,399,8163
441,378,364,8163
17811,391,377,8163
11418,404,389,8163
290,383,367,8163
80,397,363,8163
19325,394,399,8163
11248,394,378,8163
87,392,352,8163
18817,380,390,8163
4907,382,389,8163
362,386,382,8163
5309,369,363,8163
981,401,394,8163
97,393,381,8163
1953,397,383,8163
19473,389,371,8163
320,396,378,8163
147,394,371,8163
311,396,372,8163
452,394,359,8163
690,404,371,8163
17168,383,382,8163
789,364,377,8163
581,385,385,8163
353,383,378,8163
20909,387,378,8163
3272,377,360,8163
1411,405,385,8163
455,385,358,8163
2937,381,354,8163
19857,398,367,8163
982,390,359,8163
18472,391,362,8163
11,412,351,8163
745,376,359,8163
114,399,391,8163
1249,387,368,8163
2867,382,358,8163
4310,388,365,8163
567,388,354,8163
658,396,360,8163
1618,391,363,8163
3287,387,350,8163
1611,398,345,8163
18551,413,364,8163
1334,394,358,8163
6030,401,354,8163
20243,358,407,8163
17324,371,408,8163
17710,355,389,8163
381,352,388,8163
18267,366,399,8163
20460,361,391,8163
790,357,391,8163
20761,364,397,8163
20234,377,409,8163
2084,356,387,8163
1066,364,386,8163
965,375,392,8163
19950,369,409,8163
923,364,396,8163
20570,359,390,8163
348,354,376,8163
11439,378,389,8163
933,380,390,8163
20865,369,373,8163
1459,350,363,8163
16522,360,402,8163
1715,358,388,8163
94,366,387,8163
20416,358,377,8163
20268,383,399,8163
1331,363,375,8163
288,357,367,8163
21132,382,391,8163
131,381,388,8163
515,369,376,8163
17821,375,378,8163
17791,381,368,8163
2101,361,361,8163
2497,385,373,8163
20087,363,393,8163
20313,350,379,8163
20463,368,398,8163
18576,362,381,8163
19050,378,395,8163
20081,370,386,8163
19539,357,364,8163
1638,373,381,8163
1035,369,375,8163
1067,358,364,8163
384,360,360,8163
285,374,371,8163
647,371,367,8163
463,378,373,8163
212,384,378,8163
536,373,381,8163
935,359,388,8163
160,368,393,8163
991,362,386,8163
194,372,387,8163
915,373,387,8163
20492,374,385,8163
356,361,369,8163
928,381,383,8163
248,357,359,8163
1315,382,381,8163
19635,368,367,8163
20924,384,382,8163
1427,382,375,8163
822,376,368,8163
19410,373,363,8163
1078,382,368,8163
10145,380,362,8163
1958,390,367,8163
5117,373,385,8163
20500,371,368,8163
624,387,365,8163
20395,381,391,8163
1798,368,378,8163
4842,370,380,8163
16816,373,377,8163
314,367,368,8163
1128,373,374,8163
966,353,352,8163
19013,375,374,8163
99,369,363,8163
126,375,368,8163
1940,381,370,8163
454,383,368,8163
19065,381,364,8163
826,382,360,8163
2655,367,343,8163
123,355,374,8163
18821,370,381,8163
1649,369,367,8163
17574,375,350,8163
370,352,363,8163
20315,360,371,8163
1599,363,367,8163
1302,379,383,8163
266,367,363,8163
371,371,366,8163
1038,356,350,8163
2458,374,363,8163
715,371,357,8163
18254,377,362,8163
1316,376,358,8163
930,375,349,8163
20711,383,355,8163
1074,387,357,8163
1613,387,354,8163
704,366,361,8163
781,360,367,8163
20661,379,377,8163
6984,365,362,8163
19628,372,365,8163
1200,383,374,8163
829,377,362,8163
846,364,347,8163
307,384,367,8163
487,373,354,8163
119,378,356,8163
382,385,363,8163
480,387,364,8163
1376,373,371,8163
19047,377,354,8163
1116,375,369,8163
1809,389,376,8163
17105,378,360,8163
4571,377,357,8163
354,374,350,8163
1614,376,349,8163
747,370,340,8163
646,376,353,8163
10116,360,337,8163
10656,384,356,8163
20117,397,359,8163
19978,371,351,8163
18776,385,361,8163
18333,377,337,8163
845,372,341,8163
1367,387,342,8163
184,384,333,8163
4844,367,336,8163
3240,346,413,8163
20281,360,393,8163
20308,346,413,8163
21045,362,380,8163
20461,354,396,8163
20662,338,371,8163
20244,365,396,8163
20110,370,388,8163
19054,348,353,8163
550,344,373,8163
11568,344,367,8163
21049,359,376,8163
939,347,359,8163
20400,371,371,8163
20858,346,373,8163
20024,350,366,8163
10335,348,380,8163
6985,345,370,8163
20137,350,371,8163
18978,358,374,8163
19365,359,369,8163
19352,364,341,8163
19281,345,359,8163
20660,361,361,8163
1136,360,354,8163
710,344,362,8163
19475,348,358,8163
20201,358,367,8163
18316,348,355,8163
19210,341,347,8163
20270,354,359,8163
20344,352,355,8163
19096,362,362,8163
8726,347,343,8163
1170,357,363,8163
20874,353,340,8163
18100,354,373,8163
20991,358,367,8163
19214,356,364,8163
16386,353,360,8163
1484,351,356,8163
3528,351,353,8163
30,344,342,8163
17163,350,347,8163
18967,351,345,8163
1131,358,343,8163
416,366,349,8163
20282,351,353,8163
5952,347,366,8163
19976,361,373,8163
19571,337,343,8163
1274,365,368,8163
1124,343,345,8163
19532,345,343,8163
722,351,347,8163
1141,345,338,8163
5255,360,351,8163
20975,357,349,8163
19051,360,349,8163
849,350,336,8163
20724,365,343,8163
1167,349,358,8163
414,352,361,8163
20712,350,355,8163
3004,351,354,8163
7424,352,346,8163
497,348,338,8163
20682,356,345,8163
10346,348,334,8163
19055,369,350,8163
425,334,311,8163
18722,364,339,8163
18072,365,346,8163
17161,356,334,8163
17722,345,351,8163
953,348,336,8163
18462,328,315,8163
1887,364,344,8163
21078,356,332,8163
1768,361,339,8163
20637,353,336,8163
21117,361,337,8163
19057,343,332,8163
2203,349,335,8163
21136,363,341,8163
20701,356,332,8163
20994,350,322,8163
20717,367,331,8163
541,345,351,8163
18255,351,323,8163
17806,357,338,8163
21124,361,324,8163
20410,360,315,8163
18286,344,341,8163
20918,370,314,8163
